ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarterly,quarterly_lower,quarterly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-03,1461.8471631896,-1310.8883247702458,4115.35442955983,1461.8471631896,1461.8471631896,56.69310157781136,56.69310157781136,56.69310157781136,-263.2421088711852,-263.2421088711852,-263.2421088711852,414.2966882136649,414.2966882136649,414.2966882136649,-94.36147776466827,-94.36147776466827,-94.36147776466827,0.0,0.0,0.0,1518.5402647674114
2014-01-04,1461.9414474288478,-1709.7114433138386,3773.086348088186,1461.9414474288478,1461.9414474288478,-441.4205189571903,-441.4205189571903,-441.4205189571903,-250.94790163513943,-250.94790163513943,-250.94790163513943,19.50458382179864,19.50458382179864,19.50458382179864,-209.97720114384956,-209.97720114384956,-209.97720114384956,0.0,0.0,0.0,1020.5209284716575
2014-01-05,1462.0357316680959,-1537.331453540556,3686.35242294747,1462.0357316680959,1462.0357316680959,-371.9566019648302,-371.9566019648302,-371.9566019648302,-256.76762693413485,-256.76762693413485,-256.76762693413485,205.66201359631074,205.66201359631074,205.66201359631074,-320.8509886270061,-320.8509886270061,-320.8509886270061,0.0,0.0,0.0,1090.0791297032656
2014-01-06,1462.130015907344,-1359.057004357019,3697.9212648333796,1462.130015907344,1462.130015907344,-291.28840023554204,-291.28840023554204,-291.28840023554204,-276.4636543392774,-276.4636543392774,-276.4636543392774,410.58503208152666,410.58503208152666,410.58503208152666,-425.4097779777913,-425.4097779777913,-425.4097779777913,0.0,0.0,0.0,1170.841615671802
2014-01-07,1462.224300146592,-2282.494122734062,3286.4430508354226,1462.224300146592,1462.224300146592,-996.1611094298287,-996.1611094298287,-996.1611094298287,-302.3612087195871,-302.3612087195871,-302.3612087195871,-171.58788053489826,-171.58788053489826,-171.58788053489826,-522.2120201753431,-522.2120201753431,-522.2120201753431,0.0,0.0,0.0,466.0631907167633
2014-01-09,1462.4128686250879,-2141.75390811061,3349.4046466876252,1462.4128686250879,1462.4128686250879,-867.1814799582025,-867.1814799582025,-867.1814799582025,-338.77573745428487,-338.77573745428487,-338.77573745428487,159.22061119795623,159.22061119795623,159.22061119795623,-687.6263537018741,-687.6263537018741,-687.6263537018741,0.0,0.0,0.0,595.2313886668853
2014-01-10,1462.5071528643357,-1858.8319004314972,3583.096704845716,1462.5071528643357,1462.5071528643357,-676.583381403849,-676.583381403849,-676.583381403849,-336.5983077682276,-336.5983077682276,-336.5983077682276,414.296688214185,414.296688214185,414.296688214185,-754.2817618498063,-754.2817618498063,-754.2817618498063,0.0,0.0,0.0,785.9237714604867
2014-01-11,1462.601437103584,-2555.1704698010462,3118.198295230671,1462.601437103584,1462.601437103584,-1107.3018901255343,-1107.3018901255343,-1107.3018901255343,-317.49599447666174,-317.49599447666174,-317.49599447666174,19.504583822406317,19.504583822406317,19.504583822406317,-809.310479471279,-809.310479471279,-809.310479471279,0.0,0.0,0.0,355.29954697804965
2014-01-13,1462.7900055820799,-1952.104663563456,3695.0137889203143,1462.7900055820799,1462.7900055820799,-709.7862212223116,-709.7862212223116,-709.7862212223116,-237.1724329420911,-237.1724329420911,-237.1724329420911,410.5850320811692,410.5850320811692,410.5850320811692,-883.1988203613898,-883.1988203613898,-883.1988203613898,0.0,0.0,0.0,753.0037843597682
2014-01-14,1462.8842898213277,-2400.9741698202124,3024.431870151335,1462.8842898213277,1462.8842898213277,-1258.9584555787503,-1258.9584555787503,-1258.9584555787503,-185.31182257654672,-185.31182257654672,-185.31182257654672,-171.58788053606273,-171.58788053606273,-171.58788053606273,-902.058752466141,-902.058752466141,-902.058752466141,0.0,0.0,0.0,203.92583424257737
